# FrenchMaster cards source (tab-separated)
## columns: id	french	english	partOfSpeech	grade	unit	gender	examUsage	tags	examples
# examples format: french=>english || french=>english

g10s1_01	bonjour	hello / good morning	phrase	G10S1	1		Formal greeting used in written and oral exams as opening.	greetings|basic	Bonjour, comment allez-vous ?=>Hello, how are you? || Bonjour à tous !=>Good morning everyone!
g11s1_109	un animal	an animal	noun	G11S1	55	masculine	General biological term. Plural is 'animaux'.	animals|nature	Le lion est un animal sauvage.=>The lion is a wild animal. || J'ai un animal de compagnie.=>I have a pet.
g11s1_110	un appareil photo	a camera	noun	G11S1	55	masculine	Device for taking photographs.	objects|art	J'utilise mon appareil photo pour le paysage.=>I use my camera for the landscape. || Ton appareil photo est numérique.=>Your camera is digital.
g11s1_111	le vent	the wind	noun	G11S1	56	masculine	Weather phenomenon.	weather|nature	Il y a beaucoup de vent aujourd'hui.=>There is a lot of wind today. || Le vent souffle fort.=>The wind is blowing hard.
g11s1_112	le temps	the weather / time	noun	G11S1	56	masculine	Note: Double meaning depending on context.	weather|time	Quel temps fait-il ?=>How is the weather? || Je n'ai pas le temps.=>I don't have time.
g11s1_113	le climat	the climate	noun	G11S1	57	masculine	Long-term weather patterns.	weather|nature	Le climat est modéré en Égypte.=>The climate is moderate in Egypt. || Le changement du climat est inquiétant.=>Climate change is worrying.
g11s1_114	le soleil	the sun	noun	G11S1	57	masculine	Central star and symbol of sunny weather.	weather|nature	Le soleil brille dans le ciel.=>The sun is shining in the sky. || J'aime rester au soleil.=>I like staying in the sun.
g11s1_115	un pays	a country	noun	G11S1	58	masculine	S-ending remains in plural.	places|geography	La France est un beau pays.=>France is a beautiful country. || Quel pays veux-tu visiter ?=>Which country do you want to visit?
g11s1_116	un volcan	a volcano	noun	G11S1	58	masculine	Geological feature.	nature|geography	C'est un volcan très impressionnant.=>It is a very impressive volcano. || Le volcan est en éruption.=>The volcano is erupting.
g11s1_117	un lac	a lake	noun	G11S1	59	masculine	Body of water.	nature|places	On se promène au bord du lac.=>We are taking a walk by the lake. || L'eau du lac est calme.=>The lake water is calm.
g11s1_118	un oiseau	a bird	noun	G11S1	59	masculine	Avian animal. Plural is 'oiseaux'.	animals|nature	L'oiseau chante dans l'arbre.=>The bird sings in the tree. || Regarde ce bel oiseau !=>Look at that beautiful bird!
g11s1_119	le ciel	the sky	noun	G11S1	60	masculine	Atmosphere above the earth.	nature|weather	Le ciel est bleu et dégagé.=>The sky is blue and clear. || Il y a des étoiles dans le ciel.=>There are stars in the sky.
g11s1_120	le toboggan	the slide	noun	G11S1	60	masculine	Playground equipment.	leisure|children	L'enfant joue sur le toboggan.=>The child is playing on the slide. || Je veux aller sur le toboggan.=>I want to go on the slide.
g11s1_121	le train des mines	the mine train (ride)	noun	G11S1	61	masculine	Specific amusement park attraction.	leisure|amusement	Le train des mines est une attraction rapide.=>The mine train is a fast ride. || On fait la queue pour le train des mines.=>We are queuing for the mine train.
g11s1_122	le bateau pirate	the pirate boat (ride)	noun	G11S1	61	masculine	Classic swinging amusement park ride.	leisure|amusement	J'adore monter dans le bateau pirate.=>I love going on the pirate boat. || Le bateau pirate donne le vertige.=>The pirate boat makes you dizzy.
g11s1_123	un parc d'attractions	an amusement park	noun	G11S1	62	masculine	Leisure venue with various rides.	places|leisure	Allons au parc d'attractions ce week-end !=>Let's go to the amusement park this weekend! || Le parc d'attractions est immense.=>The amusement park is huge.
g11s1_124	un continent	a continent	noun	G11S1	62	masculine	Major geographical division.	geography|places	L'Afrique est un grand continent.=>Africa is a large continent. || Il y a sept continents.=>There are seven continents.
g11s1_125	un habitant	an inhabitant	noun	G11S1	63	masculine	Person living in a specific place.	people|general	Il est un habitant de cette ville.=>He is an inhabitant of this city. || Les habitants sont accueillants.=>The inhabitants are welcoming.
g11s1_126	un insecte	an insect	noun	G11S1	63	masculine	Small biological organism.	animals|nature	La coccinelle est un petit insecte.=>The ladybug is a small insect. || J'ai horreur des insectes.=>I hate insects.
g11s1_127	un scarabée	a beetle	noun	G11S1	64	masculine	Specific type of insect.	animals|nature	J'ai vu un scarabée noir dans le jardin.=>I saw a black beetle in the garden. || Le scarabée marche lentement.=>The beetle walks slowly.
g11s1_128	un paysage	a landscape	noun	G11S1	64	masculine	Natural scenery.	nature|art	C'est un paysage magnifique.=>It is a magnificent landscape. || Je peins un paysage de montagne.=>I am painting a mountain landscape.
g11s1_129	les nuages	the clouds	noun	G11S1	65	masculine	Visible mass of water vapor in the sky.	weather|nature	Il y a des nuages gris dans le ciel.=>There are gray clouds in the sky. || Les nuages cachent le soleil.=>The clouds are hiding the sun.
g11s1_130	un arbre	a tree	noun	G11S1	65	masculine	Large perennial plant.	nature|general	Il y a un grand arbre devant la maison.=>There is a large tree in front of the house. || Les feuilles de l'arbre tombent.=>The tree's leaves are falling.
g11s1_131	une capitale	a capital city	noun	G11S1	66	feminine	Seat of government for a country.	places|geography	Paris est la capitale de la France.=>Paris is the capital of France. || Madrid est une capitale animée.=>Madrid is a lively capital city.
g11s1_132	une langue	a language	noun	G11S1	66	feminine	System of communication.	communication|education	L'anglais est une langue internationale.=>English is an international language. || Combien de langues parles-tu ?=>How many languages do you speak?
g11s1_133	une carte	a map	noun	G11S1	67	feminine	Usually refers to a geographic/world map or card.	geography|travel	Regarde la carte pour trouver le pays.=>Look at the map to find the country. || C'est une carte du monde.=>It's a world map.
g11s1_134	une coccinelle	a ladybug	noun	G11S1	67	feminine	Type of beetle often considered lucky.	animals|nature	La coccinelle est rouge avec des points noirs.=>The ladybug is red with black spots. || J'ai trouvé une coccinelle.=>I found a ladybug.
g11s1_135	une grenouille	a frog	noun	G11S1	68	feminine	Amphibian animal.	animals|nature	La grenouille saute dans l'herbe.=>The frog jumps in the grass. || Il y a des grenouilles dans la mare.=>There are frogs in the pond.
g11s1_136	la photographie	photography	noun	G11S1	68	feminine	The art or practice of taking photos.	interests|art	La photographie est ma passion.=>Photography is my passion. || Elle étudie la photographie.=>She is studying photography.
g11s1_137	la nature	nature	noun	G11S1	69	feminine	The physical world and its phenomena.	nature|general	J'aime passer du temps dans la nature.=>I like spending time in nature. || Protégeons la nature !=>Let's protect nature!
g11s1_138	la pluie	the rain	noun	G11S1	69	feminine	Precipitation in liquid form.	weather|nature	J'aime marcher sous la pluie.=>I like walking in the rain. || La pluie tombe sans arrêt.=>The rain is falling non-stop.
g11s1_139	la neige	the snow	noun	G11S1	70	feminine	Frozen precipitation.	weather|nature	La neige tombe en hiver.=>The snow falls in winter. || La neige est très blanche.=>The snow is very white.
g11s1_140	une rivière	a river	noun	G11S1	70	feminine	Natural flowing watercourse.	nature|geography	On peut nager dans la rivière.=>We can swim in the river. || La rivière est profonde.=>The river is deep.
g11s1_141	une plage	a beach	noun	G11S1	71	feminine	Sandy or pebbly shore.	nature|places	La plage est bondée en été.=>The beach is crowded in summer. || Allons à la plage !=>Let's go to the beach!
g11s1_142	une fleur	a flower	noun	G11S1	71	feminine	Reproductive part of a plant.	nature|botany	C'est une jolie fleur rouge.=>It is a pretty red flower. || J'offre des fleurs à ma mère.=>I am giving flowers to my mother.
g11s1_143	une herbe	grass / herb	noun	G11S1	72	feminine	Note: often 'l'herbe' (collective grass) or individual herbs.	nature|botany	Ne marche pas sur l'herbe.=>Don't walk on the grass. || L'herbe est verte.=>The grass is green.
g11s1_144	la montagne	the mountain	noun	G11S1	72	feminine	High landform.	nature|places	On fait du ski à la montagne.=>We go skiing in the mountains. || La montagne est magnifique.=>The mountain is magnificent.
g11s1_145	la campagne	the countryside	noun	G11S1	73	feminine	Rural area outside of cities.	nature|places	J'aime le calme de la campagne.=>I like the quiet of the countryside. || Nous habitons à la campagne.=>We live in the countryside.
g11s1_146	la balançoire	the swing	noun	G11S1	73	feminine	Playground seat hanging from chains.	leisure|children	Elle s'amuse sur la balançoire.=>She is having fun on the swing. || Je te pousse sur la balançoire.=>I'll push you on the swing.
g11s1_147	la maison hantée	the haunted house	noun	G11S1	74	feminine	Spooky amusement park attraction.	leisure|amusement	La maison hantée fait très peur !=>The haunted house is very scary! || Tu veux entrer dans la maison hantée ?=>Do you want to go into the haunted house?
g11s1_148	les feuilles des arbres	tree leaves	noun	G11S1	74	feminine	Refers to the foliage of trees.	nature|botany	Les feuilles tombent en automne.=>The leaves fall in autumn. || Les feuilles sont mortes.=>The leaves are dead.
g11s1_149	les montagnes russes	rollercoasters	noun	G11S1	75	feminine	Literal: Russian mountains. Always plural.	leisure|amusement	Les montagnes russes sont incroyables.=>The rollercoasters are incredible. || J'ai peur des montagnes russes.=>I'm afraid of rollercoasters.
g11s1_150	une forêt	a forest	noun	G11S1	75	feminine	Large area covered with trees.	nature|places	On se promène dans la forêt.=>We are taking a walk in the forest. || La forêt est sombre.=>The forest is dark.
g11s1_151	une mer	a sea	noun	G11S1	76	feminine	Large body of saltwater.	nature|places	La mer est bleue et calme.=>The sea is blue and calm. || Nous nous baignons dans la mer.=>We are bathing in the sea.
g11s1_152	une photo	a photo	noun	G11S1	76	feminine	Short for photographie.	objects|art	Prends une photo de la fleur.=>Take a photo of the flower. || Regarde cette vieille photo.=>Look at this old photo.
g11s1_153	une saison	a season	noun	G11S1	77	feminine	Division of the year (spring, summer, etc.).	time|weather	L'été est ma saison préférée.=>Summer is my favorite season. || Il y a quatre saisons.=>There are four seasons.
g11s1_154	une attraction	a ride / attraction	noun	G11S1	77	feminine	General term for amusement park features.	leisure|amusement	Quelle est ton attraction préférée ?=>What is your favorite ride? || Cette attraction est très populaire.=>This attraction is very popular.
g11s1_155	une chauve-souris	a bat	noun	G11S1	78	feminine	Flying mammal. Plural is 'chauves-souris'.	animals|nature	La chauve-souris vole la nuit.=>The bat flies at night. || J'ai vu une chauve-souris dans la cave.=>I saw a bat in the cellar.
g11s1_156	une nationalité	a nationality	noun	G11S1	78	feminine	Legal belonging to a nation.	identity|general	Quelle est ta nationalité ?=>What is your nationality? || J'ai la nationalité française.=>I have French nationality.
g11s1_157	admirer	to admire	verb	G11S1	79	-	Standard -er verb for appreciation.	verbs|general	J'admire le paysage depuis le balcon.=>I admire the landscape from the balcony. || J'admire ton courage.=>I admire your courage.
g11s1_158	voyager	to travel	verb	G11S1	79	-	Note spelling change (e) before 'a' and 'o'.	verbs|travel	J'adore voyager dans d'autres pays.=>I love traveling to other countries. || Nous voyageons en train.=>We are traveling by train.
g11s1_159	chanter	to sing	verb	G11S1	80	-	Standard -er verb.	verbs|art	Elle chante une belle chanson.=>She is singing a beautiful song. || J'aime chanter sous la douche.=>I like singing in the shower.
g11s1_160	visiter	to visit	verb	G11S1	80	-	Used for places (use 'rendre visite à' for people).	verbs|places	Nous allons visiter le Louvre.=>We are going to visit the Louvre. || Visitez ce monument !=>Visit this monument!
g11s1_161	tomber	to fall	verb	G11S1	81	-	Uses 'être' as auxiliary.	verbs|nature	La neige commence à tomber.=>The snow is starting to fall. || Attention à ne pas tomber !=>Watch out not to fall!
g11s1_162	briller	to shine	verb	G11S1	81	-	Standard -er verb.	verbs|nature	Le soleil brille fort aujourd'hui.=>The sun is shining strongly today. || Ses yeux brillent de joie.=>Her eyes are shining with joy.
g11s1_163	se baigner	to bathe / swim	verb	G11S1	82	-	Refers to swimming or wading for leisure.	verbs|leisure	On se baigne à la plage.=>We are bathing at the beach. || J'aime me baigner dans le lac.=>I like bathing in the lake.
g11s1_164	se promener	to take a walk	verb	G11S1	82	-	Stem-changing verb (je me promène).	verbs|leisure	Je me promène avec mon chien.=>I am taking a walk with my dog. || Nous nous promenons en forêt.=>We are taking a walk in the forest.
g11s1_165	se trouver	to be located	verb	G11S1	83	-	Used to indicate position.	verbs|places	Où se trouve la pharmacie ?=>Where is the pharmacy located? || La banque se trouve à droite.=>The bank is located on the right.
g11s1_166	annoncer	to announce	verb	G11S1	83	-	Note spelling change (ç) before 'a' and 'o'.	verbs|general	Le prof annonce la date du test.=>The teacher announces the test date. || Il annonce une bonne nouvelle.=>He is announcing good news.
g11s1_167	photographier	to photograph	verb	G11S1	84	-	Standard -er verb.	verbs|art	J'aime photographier la nature.=>I like photographing nature. || Elle photographie les oiseaux.=>She is photographing the birds.
g11s1_168	se situer	to be located	verb	G11S1	84	-	Synonym for 'se trouver'.	verbs|places	Le musée se situe près du pont.=>The museum is located near the bridge. || Où se situe ta maison ?=>Where is your house located?
g11s1_169	modéré	moderate	adjective	G11S1	85	-	Describes climate or intensity.	adjectives|weather	Le climat est modéré aujourd'hui.=>The climate is moderate today. || C'est un exercice modéré.=>It is a moderate exercise.
g11s1_170	couvert	overcast / cloudy	adjective	G11S1	85	-	Used for the sky.	adjectives|weather	Le ciel est couvert, il va pleuvoir.=>The sky is overcast, it's going to rain. || Le temps est couvert ce matin.=>The weather is cloudy this morning.
g11s1_171	chaud	hot	adjective	G11S1	86	-	Describes temperature. Feminine is 'chaude'.	adjectives|weather	Il fait très chaud en été.=>It is very hot in summer. || Le café est chaud.=>The coffee is hot.
g11s1_172	froid	cold	adjective	G11S1	86	-	Describes temperature. Feminine is 'froide'.	adjectives|weather	J'ai froid quand il neige.=>I am cold when it snows. || L'eau est froide.=>The water is cold.
g11s1_173	mauvais	bad	adjective	G11S1	87	-	Often used for 'mauvais temps'. Feminine is 'mauvaise'.	adjectives|weather	Le temps est mauvais aujourd'hui.=>The weather is bad today. || C'est une mauvaise idée.=>It's a bad idea.
g11s1_174	beau	beautiful / fine	adjective	G11S1	87	-	Refers to good weather (il fait beau). Feminine is 'belle'.	adjectives|weather	Il fait beau, sortons !=>The weather is fine, let's go out! || Quel beau paysage !=>What a beautiful landscape!
g11s1_175	il pleut	it's raining	phrase	G11S1	88	-	Impersonal verb (pleuvoir).	phrases|weather	Prends ton parapluie, il pleut.=>Take your umbrella, it's raining. || Je pense qu'il pleut.=>I think it's raining.
g11s1_176	il neige	it's snowing	phrase	G11S1	88	-	Impersonal verb (neiger).	phrases|weather	Il neige, on peut faire un bonhomme.=>It's snowing, we can make a snowman. || Regarde, il neige !=>Look, it's snowing!
g11s1_177	être d'origine	to be of ... origin	verb	G11S1	89	-	Used to describe ancestry or background.	verbs|identity	Je suis d'origine égyptienne.=>I am of Egyptian origin. || Elle est d'origine italienne.=>She is of Italian origin.
g11s1_178	faire des photos	to take photos	verb	G11S1	89	-	Common idiomatic expression.	verbs|art	J'aime faire des photos souvenirs.=>I like taking souvenir photos. || Nous faisons des photos du monument.=>We are taking photos of the monument.
g11s1_179	jouer à des jeux vidéo	to play video games	verb	G11S1	90	-	Note the use of 'à'.	verbs|leisure	Je joue aux jeux vidéo le soir.=>I play video games in the evening. || Il adore jouer à des jeux vidéo.=>He loves playing video games.
g11s1_180	un bonhomme de neige	a snowman	noun	G11S1	90	masculine	Figure made of snow.	weather|nature	Faisons un bonhomme de neige !=>Let's make a snowman! || Le bonhomme de neige fond.=>The snowman is melting.
g11s1_181	prendre en photo	to take a picture of	verb	G11S1	91	-	Direct transitive expression.	verbs|art	Il veut me prendre en photo.=>He wants to take a picture of me. || Je vais te prendre en photo.=>I'm going to take a picture of you.
g11s1_182	des photos souvenirs	souvenir photos	noun	G11S1	91	feminine	Photos kept as a memory of a trip.	objects|general	On garde des photos souvenirs du voyage.=>We keep souvenir photos of the trip. || Voici mes photos souvenirs.=>Here are my souvenir photos.
g11s1_183	avoir peur	to be afraid	verb	G11S1	92	-	Requires 'de' if followed by a noun.	verbs|feelings	J'システム	2026-01-02	I am afraid in the haunted house. || Elle a peur des chiens.=>She is afraid of dogs.
g11s1_184	donner sur	to overlook / face	verb	G11S1	92	-	Used for windows or views.	verbs|places	Ma fenêtre donne sur le jardin.=>My window overlooks the garden. || La terrasse donne sur la mer.=>The terrace faces the sea.

g11s2_01	un look	a look / appearance	noun	G11S2	1	masculine	Refers to personal style and physical appearance.	fashion|identity	J'aime beaucoup ton nouveau look.=>I really like your new look. || Elle a un look très original.=>She has a very original look.
g11s2_02	un looké	a stylish person	noun	G11S2	2	masculine	Informal term for someone who follows fashion trends closely.	fashion|people	C'est un vrai looké, il suit toutes les tendances.=>He's a real stylish person, he follows all the trends. || Les lookés se retrouvent souvent ici.=>Stylish people often meet here.
g11s2_03	un vêtement	a piece of clothing	noun	G11S2	3	masculine	General term for any item of clothing.	fashion	Quel est ton vêtement préféré ?=>What is your favorite piece of clothing? || J'ai besoin de nouveaux vêtements.=>I need some new clothes.
g11s2_04	un prix	a price	noun	G11S2	4	masculine	Used when discussing the cost of items while shopping.	shopping	Le prix de ce jean est trop élevé.=>The price of these jeans is too high. || Le prix est indiqué sur l'étiquette.=>The price is shown on the tag.
g11s2_05	un avis	an opinion	noun	G11S2	5	masculine	Synonym of 'opinion', used to ask for thoughts on style.	communication	Quel est ton avis sur cette robe ?=>What is your opinion on this dress? || À mon avis, c'est trop cher.=>In my opinion, it's too expensive.
g11s2_06	un défilé de mode	a fashion show	noun	G11S2	6	masculine	Refers to professional fashion events on the runway.	fashion|events	J'ai assisté à un défilé de mode à Paris.=>I attended a fashion show in Paris. || Les mannequins marchent durant le défilé.=>The models walk during the fashion show.
g11s2_07	un uniforme	a uniform	noun	G11S2	7	masculine	Commonly used in the context of school or specific jobs.	fashion|school	Au lycée, nous ne portons pas d'uniforme.=>In high school, we don't wear a uniform. || L'uniforme est obligatoire ici.=>The uniform is mandatory here.
g11s2_08	un accessoire	an accessory	noun	G11S2	8	masculine	Items like belts, jewelry, or scarves that complete an outfit.	fashion	La ceinture est un accessoire important.=>The belt is an important accessory. || Elle adore les accessoires de mode.=>She loves fashion accessories.
g11s2_09	une tenue	an outfit	noun	G11S2	9	feminine	Refers to a complete set of clothes worn together.	fashion	C'est une tenue parfaite pour la fête.=>It's a perfect outfit for the party. || J'aime ta tenue aujourd'hui.=>I like your outfit today.
g11s2_10	une taille	a size	noun	G11S2	10	feminine	Essential vocabulary for clothing measurements (S, M, L).	fashion|shopping	Quelle est votre taille ? Je fais du M.=>What is your size? I am a medium. || Cette taille est trop petite.=>This size is too small.
g11s2_11	une matière	a material / fabric	noun	G11S2	11	feminine	Used to describe what a garment is made of.	fashion	Le coton est une matière naturelle.=>Cotton is a natural material. || J'aime la matière de ce pull.=>I like the fabric of this sweater.
g11s2_12	la mode	fashion	noun	G11S2	12	feminine	The general concept of trends and the clothing industry.	fashion	La mode change chaque saison.=>Fashion changes every season. || Elle travaille dans le milieu de la mode.=>She works in the fashion industry.
g11s2_13	une marque	a brand	noun	G11S2	13	feminine	Refers to the designer or company label.	fashion|shopping	Cette marque est connue dans le monde entier.=>This brand is known throughout the world. || Je ne porte que cette marque.=>I only wear this brand.
g11s2_14	une garde-robe	a wardrobe / collection	noun	G11S2	14	feminine	Refers to the entire collection of clothes one owns.	fashion|home	Ma garde-robe est pleine de vêtements d'été.=>My wardrobe is full of summer clothes. || Il faut renouveler ma garde-robe.=>I need to renew my wardrobe.
g11s2_15	des chaussures à talons	high heels	noun	G11S2	15	feminine	Specific footwear, usually for formal occasions.	fashion|shoes	Elle porte des chaussures à talons pour le défilé.=>She is wearing high heels for the fashion show. || Ces chaussures à talons sont élégantes.=>These high heels are elegant.
g11s2_16	des chaussures à lacets	lace-up shoes	noun	G11S2	16	feminine	Footwear that requires tying laces.	fashion|shoes	Mes chaussures à lacets sont très confortables.=>My lace-up shoes are very comfortable. || Il attache ses chaussures à lacets.=>He is tying his lace-up shoes.
g11s2_17	des bottes	boots	noun	G11S2	17	feminine	Sturdy footwear covering the foot and ankle/leg.	fashion|shoes	Je porte des bottes quand il pleut.=>I wear boots when it rains. || Ces bottes en cuir sont belles.=>These leather boots are beautiful.
g11s2_18	des bottines	ankle boots	noun	G11S2	18	feminine	Short boots that reach just to the ankle.	fashion|shoes	Ces bottines vont bien avec ta jupe.=>These ankle boots go well with your skirt. || J'ai acheté des bottines noires.=>I bought black ankle boots.
g11s2_19	des ballerines	flats / ballet flats	noun	G11S2	19	feminine	Simple, flat, slip-on shoes for women.	fashion|shoes	Les ballerines sont élégantes et légères.=>Ballet flats are elegant and light. || Elle met ses ballerines pour danser.=>She puts on her flats to dance.
g11s2_20	des sandales	sandals	noun	G11S2	20	feminine	Open footwear worn typically in warm weather.	fashion|shoes	En été, je préfère porter des sandales.=>In summer, I prefer to wear sandals. || Tes sandales sont très jolies.=>Your sandals are very pretty.
g11s2_21	des manches	sleeves	noun	G11S2	21	feminine	The part of a garment that covers the arm.	fashion|details	Ce pull a des manches longues.=>This sweater has long sleeves. || Je préfère les chemises sans manches.=>I prefer sleeveless shirts.
g11s2_22	des baskets	sneakers / trainers	noun	G11S2	22	feminine	Casual or athletic shoes.	fashion|shoes|sports	Je mets mes baskets pour courir.=>I put on my sneakers to run. || Ces baskets sont très à la mode.=>These trainers are very trendy.
g11s2_23	une permission	permission	noun	G11S2	23	feminine	Authorization to do something.	general	J'ai la permission de sortir ce soir.=>I have permission to go out tonight. || Il demande la permission à ses parents.=>He asks his parents for permission.
g11s2_24	une opinion	an opinion	noun	G11S2	24	feminine	A view or judgment formed about something.	communication	À mon opinion, ce blouson est moche.=>In my opinion, this jacket is ugly. || Partage ton opinion avec nous.=>Share your opinion with us.
g11s2_25	une appréciation	appreciation / assessment	noun	G11S2	25	feminine	A favorable judgment or evaluation.	communication	Le professeur donne une bonne appréciation.=>The teacher gives a good assessment. || J'apprécie ton appréciation positive.=>I value your positive appreciation.
g11s2_26	ranger	to tidy up / organize	verb	G11S2	26		Regular -er verb. Essential for daily routine/home topics.	verbs|home	Je dois ranger mes vêtements dans l'armoire.=>I must tidy my clothes in the wardrobe. || Range ta chambre s'il te plaît.=>Tidy your room please.
g11s2_27	trouver	to find	verb	G11S2	27		Regular -er verb used for searching or opinions.	verbs	Je ne trouve pas mes chaussures.=>I cannot find my shoes. || Je trouve ce style très beau.=>I find this style very beautiful.
g11s2_28	porter	to wear	verb	G11S2	28		Primary verb used for clothing and accessories.	verbs|fashion	Elle porte une robe rouge magnifique.=>She is wearing a magnificent red dress. || Que vas-tu porter demain ?=>What are you going to wear tomorrow?
g11s2_29	s'habiller	to get dressed	verb	G11S2	29		Reflexive verb for the act of putting on clothes.	verbs|fashion	Je m'habille rapidement le matin.=>I get dressed quickly in the morning. || Elle s'habille avec beaucoup de goût.=>She dresses with a lot of taste.
g11s2_30	admirer	to admire	verb	G11S2	30		To look at with pleasure or respect.	verbs	J'admire son style très original.=>I admire his very original style. || Nous admirons le paysage.=>We admire the landscape.
g11s2_31	penser	to think	verb	G11S2	31		Used to express thoughts or ask for feedback.	verbs|communication	Qu'est-ce que tu penses de ce look ?=>What do you think of this look? || Je pense qu'il va pleuvoir.=>I think it is going to rain.
g11s2_32	protéger	to protect	verb	G11S2	32		Stem-changing verb (é -> è). Used for functional clothing.	verbs	Le manteau protège du froid.=>The coat protects from the cold. || Les lunettes protègent les yeux.=>Glasses protect the eyes.
g11s2_33	assister à	to attend	verb	G11S2	33		Requires the preposition 'à'. Not to be confused with 'to assist'.	verbs|events	Je vais assister à un concert demain.=>I am going to attend a concert tomorrow. || Elle assiste à tous les défilés.=>She attends all the shows.
g11s2_34	fixer	to fix / set	verb	G11S2	34		Used for establishing dates, times, or staring.	verbs	Il faut fixer une date pour la fête.=>We must set a date for the party. || Il fixe l'image sur le mur.=>He fixes the image on the wall.
g11s2_35	vendre	to sell	verb	G11S2	35		Regular -re verb. Essential for shopping contexts.	verbs|shopping	Ce magasin vend des vêtements de marque.=>This store sells brand-name clothes. || Ils vendent leur vieille voiture.=>They are selling their old car.
g11s2_36	plaire	to please / appeal to	verb	G11S2	36		Irregular verb used to express liking something.	verbs	Cette couleur me plaît beaucoup.=>I like this color a lot (lit: this color pleases me). || Ça te plaît ?=>Do you like it?
g11s2_37	changer	to change	verb	G11S2	37		Stem-changing verb in 'nous' form (changeons).	verbs|fashion	Je vais changer de vêtements avant de sortir.=>I'm going to change clothes before going out. || Il a changé d'avis.=>He changed his mind.
g11s2_38	uni(e)	plain / solid color	adjective	G11S2	38		Used to describe fabrics without patterns.	adjectives|fashion	Je préfère les tee-shirts unis.=>I prefer plain t-shirts. || Elle porte une jupe unie.=>She is wearing a solid-colored skirt.
g11s2_39	joli(e)	pretty / nice	adjective	G11S2	39		Common adjective for aesthetic appreciation.	adjectives	C'est une très jolie bague.=>It's a very pretty ring. || Quel joli sourire !=>What a nice smile!
g11s2_40	serré(e)	tight	adjective	G11S2	40		Refers to the fit of a garment.	adjectives|fashion	Ce pantalon est trop serré pour moi.=>These pants are too tight for me. || Sa chemise est très serrée.=>His shirt is very tight.
g11s2_41	large	wide / baggy	adjective	G11S2	41		Refers to a loose fit or significant width.	adjectives|fashion	J'aime porter des vêtements larges.=>I like to wear baggy clothes. || La rue est très large.=>The street is very wide.
g11s2_42	démodé(e)	old-fashioned / out of style	adjective	G11S2	42		Antonym of 'à la mode'.	adjectives|fashion	Ce chapeau est totalement démodé.=>This hat is totally out of style. || Ses idées sont démodées.=>His ideas are old-fashioned.
g11s2_43	moche	ugly	adjective	G11S2	43		Informal synonym for 'laid'.	adjectives|fashion	Je trouve que ce pull est moche.=>I find that this sweater is ugly. || Quel temps moche !=>What ugly weather!
g11s2_44	fan de mode	fashion fan / fashionista	phrase	G11S2	44		Used to describe someone passionate about trends.	people|fashion	Ma sœur est une grande fan de mode.=>My sister is a big fashion fan. || Je suis fan de mode depuis toujours.=>I've always been a fashion fan.
g11s2_45	élégant(e)	elegant / stylish	adjective	G11S2	45		High-register adjective for sophisticated style.	adjectives|personality	Tu es très élégant dans ce costume.=>You are very elegant in this suit. || C'est une femme très élégante.=>She is a very elegant woman.
g11s2_46	en coton	made of cotton	phrase	G11S2	46		Describes fabric composition.	fashion|materials	Ce tee-shirt est 100% en coton.=>This t-shirt is 100% cotton. || J'aime les draps en coton.=>I like cotton sheets.
g11s2_47	en soie	made of silk	phrase	G11S2	47		Describes high-quality, smooth fabric.	fashion|materials	Elle a une écharpe en soie.=>She has a silk scarf. || La soie est une matière délicate.=>Silk is a delicate material.
g11s2_48	en argent	made of silver	phrase	G11S2	48		Commonly used for jewelry and accessories.	fashion|materials|accessories	Ce bracelet est en argent.=>This bracelet is made of silver. || Elle porte des boucles d'oreilles en argent.=>She is wearing silver earrings.
g11s2_49	en laine	made of wool	phrase	G11S2	49		Describes warm material for winter clothing.	fashion|materials	Un pull en laine est parfait pour l'hiver.=>A wool sweater is perfect for winter. || J'ai des chaussettes en laine.=>I have wool socks.
g11s2_50	en cuir	made of leather	phrase	G11S2	50		Describes material often used for jackets and shoes.	fashion|materials	J'ai acheté une veste en cuir.=>I bought a leather jacket. || Son sac est en cuir noir.=>Her bag is made of black leather.
g11s2_51	en or	made of gold	phrase	G11S2	51		Used for precious jewelry.	fashion|materials|accessories	Ma grand-mère a un collier en or.=>My grandmother has a gold necklace. || C'est une bague en or massif.=>It's a solid gold ring.
g11s2_52	en jean	made of denim	phrase	G11S2	52		Used for casual, sturdy fabric.	fashion|materials	Il porte un blouson en jean.=>He is wearing a denim jacket. || J'aime cette jupe en jean.=>I like this denim skirt.
g11s2_53	meilleur(e)	better / best	adjective	G11S2	53		Comparative or superlative of 'bon'.	adjectives	C'est le meilleur prix du magasin.=>It's the best price in the store. || Cette solution est meilleure.=>This solution is better.
g11s2_54	faire les boutiques	to go shopping	phrase	G11S2	54		Common idiom for recreational shopping.	verbs|shopping	Le samedi, j'aime faire les boutiques.=>On Saturdays, I like to go window shopping/hit the shops. || On va faire les boutiques au centre-ville.=>We are going shopping downtown.
g11s2_55	à capuche	with a hood	phrase	G11S2	55		Describes a specific feature of sweatshirts or jackets.	fashion|details	Je porte un sweat à capuche.=>I am wearing a hoodie. || C'est un manteau à capuche.=>It's a hooded coat.
